Vancouver,Max of Vancouver,,Vancouver
110,279.88,,110
130,279.83,,130
100,279.57,,100
90,279.53,,90
90,279.62,,90
100,280.13,,100
0,280.36,,0
80,281.35,,80
80,281.62,,80
100,281.68,,100
90,281.55,,90
110,281.35,,110
80,281.3,,80
40,281.3,,40
70,281.16,,70
80,281.52,,80
80,281.59,,80
90,281.71,,90
0,281.59,,0
10,281.59,,10
110,281.59,,110
100,281.66,,100
100,281.66,,100
130,281.71,,130
110,281.66,,110
90,281.67,,90
80,281.61,,80
90,281.59,,90
30,281.59,,30
100,282.89,,100
100,283.09,,100
130,284.52,,130
160,285.04,,160
130,285.94,,130
120,285.41,,120
100,285.25,,100
140,284.85,,140
100,284.09,,100
90,283.45,,90
100,283.32,,100
90,283.25,,90
110,283.34,,110
350,282.86,,350
40,282.64,,40
50,282.53,,50
30,282.48,,30
40,282.48,,40
130,282.23,,130
120,281.95,,120
90,281.79,,90
10,281.45,,10
10,281.41,,10
310,281.36,,310
170,281.8,,170
140,282.19,,140
100,283.21,,100
70,283.19,,70
360,284.19,,360
30,284.69,,30
140,284.9,,140
0,284.93,,0
180,284.73,,180
170,284.28,,170
150,284.64,,150
180,284.84,,180
140,284.49,,140
50,284.68,,50
150,284.63,,150
50,284.78,,50
70,284.55,,70
130,284.6,,130
130,284.42,,130
90,284.26,,90
90,284.12,,90
90,284.08,,90
22,284.04,,22
100,284.2,,100
120,284.5,,120
160,284.55,,160
260,284.65,,260
300,284.79,,300
310,284.36,,310
310,284.23,,310
0,284.14,,0
0,283.84,,0
70,284.13,,70
45,284.12,,45
22,284.12,,22
100,284.06,,100
80,284.05,,80
0,284.05,,0
90,284,,90
90,283.89,,90
90,283.68,,90
100,283.63,,100
90,283.64,,90
110,283.43,,110
90,283.29,,90
0,283.29,,0
0,283.29,,0
100,283.34,,100
90,283.46,,90
90,283.62,,90
100,284.2,,100
90,284.45,,90
90,284.64,,90
100,284.67,,100
110,284.8,,110
120,284.49,,120
130,284.22,,130
110,284.63,,110
130,284.68,,130
140,284.54,,140
100,284.49,,100
50,284.07,,50
90,284.14,,90
100,284.2,,100
80,284.15,,80
30,283.89,,30
80,284.02,,80
110,284.09,,110
100,283.97,,100
90,283.7,,90
100,283.59,,100
100,283.51,,100
70,283.89,,70
110,284.16,,110
140,284.33,,140
80,285.13,,80
80,284.93,,80
90,284.77,,90
90,284.66,,90
100,284.46,,100
110,284.49,,110
337,284.34,,337
90,284.19,,90
90,284.18,,90
90,284.18,,90
50,284.18,,50
100,284.05,,100
100,283.77,,100
45,283.94,,45
90,283.84,,90
90,283.94,,90
100,283.9,,100
110,283.97,,110
90,284.02,,90
100,284.13,,100
120,284.5,,120
90,284.84,,90
90,285.05,,90
70,285.55,,70
110,285.77,,110
90,286.26,,90
100,286.78,,100
130,286.43,,130
100,285.98,,100
100,285.77,,100
70,285.23,,70
60,284.69,,60
130,284.26,,130
70,284.26,,70
60,284.57,,60
100,284.57,,100
100,284.38,,100
50,284.05,,50
70,283.95,,70
90,283.85,,90
90,283.94,,90
120,283.94,,120
120,283.78,,120
120,283.88,,120
120,284.48,,120
140,284.45,,140
180,284.14,,180
170,284.19,,170
190,284.19,,190
0,284.19,,0
0,284.57,,0
0,284.15,,0
0,284.37,,0
320,284.28,,320
350,284.15,,350
0,284.43,,0
0,284.11,,0
0,283.97,,0
60,283.77,,60
80,283.82,,80
90,283.75,,90
100,283.6,,100
100,283.7,,100
110,283.8,,110
110,283.75,,110
110,283.81,,110
80,283.75,,80
70,283.75,,70
60,283.63,,60
90,284.28,,90
80,284.55,,80
70,284.72,,70
60,285.12,,60
84,285.61,,84
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
109,286.1,,109
207,286.09,,207
207,286.09,,207
207,286.09,,207
207,286.09,,207
207,286.09,,207
207,286.09,,207
308,283.14,,308
308,283.14,,308
308,283.14,,308
308,283.14,,308
278,283.3066667,,278
249,283.4733333,,249
220,283.64,,220
230,284.12,,230
270,284.21,,270
270,284.78,,270
290,284.76,,290
290,284.05,,290
290,283.25,,290
300,283.02,,300
360,282.96,,360
0,282.69,,0
360,282.21,,360
0,281.83,,0
360,281.43,,360
310,281.56,,310
310,281.67,,310
0,281.77,,0
0,281.67,,0
0,281.68,,0
20,281.78,,20
0,281.72,,0
0,281.77,,0
0,281.83,,0
10,282.01,,10
330,281.88,,330
60,281.2,,60
100,281.31,,100
110,281.51,,110
100,281.82,,100
110,281.86,,110
110,282.17,,110
110,282.39,,110
110,282.33,,110
90,282.92,,90
180,282.95,,180
180,282.98,,180
60,283.22,,60
240,282.95,,240
240,282.53,,240
240,282.02,,240
260,281.07,,260
270,280.67,,270
270,280.23,,270
